1010::postcode::SE11RB,51.501054584x-0.0956229787909
1010::postcode::g750ra,55.7501428137x-4.15977429922
1010::postcode::CF11 9LJ,51.4831328x-3.1903294
1010::postcode::9704CG,None
1010::postcode::NW17PE,51.5395624698x-0.14740019201
1010::postcode::SE13HA,51.4995445568x-0.0807738400903
1010::postcode::EH11 1EH,None
1010::postcode::NW17QY,None
1010::postcode::pe293nj,52.3300651x-0.1842612
1010::postcode::CF11 9PH,None
1010::postcode::YO103JU,None
1010::postcode::CB243AF,52.261207201x0.0663596577743
1010::postcode::L17 6BZ,53.3729371x-2.9241803
1010::postcode::SE13LE,51.5005309419x-0.0806027271204
1010::postcode::SE13LN,51.5000925778x-0.0790938970371
1010::postcode::OX100AL,None
1010::postcode::EH11 1JB,None
1010::postcode::LL48 6LF,None
1010::postcode::CW100QJ,53.1859631x-2.4267559
1010::postcode::SE13RY,None
1010::postcode::sl38dd,None
1010::postcode::YO103ST,None
1010::postcode::SE13TX,51.5001479901x-0.0819299463429
1010::postcode::2645JV,None
1010::postcode::SE13UN,51.4971316858x-0.0811489331919
1010::postcode::SE13UZ,51.4990091738x-0.0804793630008
1010::postcode::7418AJDEVENTER,None
1010::postcode::DA1 2NT,None
1010::postcode::83130LAGARDE,None
1010::postcode::NW18AF,51.5410064783x-0.14659166775
1010::postcode::cf355lz,51.5194564x-3.5016789
1010::postcode::Ig103DR,51.6350510409x0.0583953121823
1010::postcode::NW18DP,51.544303804x-0.146976874038
1010::postcode::byemail,None
1010::postcode::NG41JL,None
1010::postcode::e4 8sg,51.6042197233x-0.0144110215875
1010::postcode::NE304LY,55.0182316094x-1.42550309612
1010::postcode::E13 9NB,51.5255703x0.0317711
1010::postcode::SE14AU,51.500420865x-0.0892810249439
1010::postcode::UB12GU,51.5307416206x-0.369771224302
1010::postcode::cw1 6er,53.096443623x-2.42896052408
1010::postcode::NW18JD,51.5407549118x-0.151735664377
1010::postcode::NW18JT,51.5397207889x-0.150595089722
1010::postcode::YO19QL,53.9589671094x-1.08419854241
1010::postcode::YO19QN,None
1010::postcode::W11 4TR,51.5057179x-0.2160953
1010::postcode::W11 4UE,51.506517x-0.2089312
1010::postcode::977,None
1010::postcode::EC1R4QB,51.52570085x-0.109933478449
1010::postcode::BA19AB,51.3932665894x-2.40699843625
1010::postcode::EC1R4TN,None
1010::postcode::FY37LR,None
1010::postcode::FY37LS,None
1010::postcode::TQ47DA,50.4263458867x-3.6010926038
1010::postcode::SW19 4DR,51.4206977x-0.2080883
1010::postcode::LS16 7SR,53.8555457x-1.6060934
1010::postcode::NN6 8DU,52.3126613x-1.0401834
1010::postcode::SW19 4EU,None
1010::postcode::TA70LP,51.1045263556x-2.93280226814
1010::postcode::CF628ZJ,51.4152108x-3.2878019
1010::postcode::AB315QA,None
1010::postcode::NW18UR,51.542184928x-0.156321337784
1010::postcode::HA36LE,51.6042235446x-0.355429645011
1010::postcode::SE14PL,51.5012301227x-0.0909329523787
1010::postcode::Gu307NY,51.0787189585x-0.806674808514
1010::postcode::SE14PU,None
1010::postcode::E151BN,51.542512315x0.000957362554331
1010::postcode::E151BX,None
1010::postcode::SE14SG,51.4939722521x-0.0842636682488
1010::postcode::OL8 1XU,None
1010::postcode::lu4 0lj,None
1010::postcode::HA36RR,51.6129610118x-0.33925518537
1010::postcode::69210,None
1010::postcode::EC1R5AR,51.5218331585x-0.109877401785
1010::postcode::RG194LW,None
1010::postcode::NN6 8QE,52.3545698x-1.026355
1010::postcode::IP214JP,52.3709831913x1.24814066192
1010::postcode::GL7 1PX,51.7119317278x-1.96609920492
1010::postcode::RG194NG,None
1010::postcode::401107,None
1010::postcode::3621wk,None
1010::postcode::SE14YH,51.499248309x-0.0929319941627
1010::postcode::WN6 0NX,None
1010::postcode::EC1R5EN,51.5222801639x-0.109714743304
1010::postcode::cf10 3np,51.48563x-3.1772164
1010::postcode::ST5 6BD,53.0387324x-2.2618743
1010::postcode::NW19BS,51.5458665554x-0.129289264638
1010::postcode::NG42HF,52.9564090321x-1.08294760848
1010::postcode::ST5 6BX,None
1010::postcode::GL71PX,51.7119317278x-1.96609920492
1010::postcode::EC1R5HL,51.5238185522x-0.110314145428
1010::postcode::69290,None
1010::postcode::NW19EU,51.5424279016x-0.138111898212
1010::postcode::GL7 1XA,51.7125644x-1.9862025
1010::postcode::GL71UP,51.7160331725x-1.97177024302
1010::postcode::WN6 0XF,53.5932012895x-2.65574086752
1010::postcode::GL71XA,None
1010::postcode::UB13HW,51.5069887773x-0.346338768523
1010::postcode::YO105BN,53.9508233287x-1.06313538057
1010::postcode::6042eh,None
1010::postcode::YO105DD,53.9484202491x-1.05354421162
1010::postcode::NW19PE,51.5418495735x-0.139635296269
1010::postcode::SW19 5BY,51.4252315x-0.2194039
1010::postcode::NW19PH,51.5418928325x-0.140095007097
1010::postcode::NW19PT,51.5424516754x-0.141312450357
1010::postcode::SE120BL,51.433184733x0.0221019617716
"1010::postcode::4016,Stavanger",None
1010::postcode::BD240DE,54.0713199322x-2.29118102942
1010::postcode::YO105HZ,None
1010::postcode::HU70YF,None
1010::postcode::G838RZ,56.0348539036x-4.51376247852
1010::postcode::NG8 4PD,52.9662779x-1.216087
1010::postcode::GL170AH,51.8483400189x-2.43350715452
1010::postcode::TN39 4SP,50.8420999x0.4335337
1010::postcode::SE120LF,None
1010::postcode::S72 0EQ,53.5517292484x-1.34880894083
1010::postcode::SW19 5NA,51.4268876x-0.2224611
1010::postcode::NW10 6ST,51.5271968x-0.2571063
1010::postcode::SE15SY,51.4941773059x-0.0808552247602
1010::postcode::SE120NE,51.4436797371x0.0131973929517
1010::postcode::HA37RG,51.5927468132x-0.331027217668
1010::postcode::cf611tq,51.4049991x-3.4772654
1010::postcode::ba11bh,51.3828357218x-2.36050700768
1010::postcode::Sp1 3JJ,None
1010::postcode::TR12 7EB,None
1010::postcode::YO105ZA,None
1010::postcode::GL170LH,51.874382115x-2.45846570154
1010::postcode::75014Paris,None
1010::postcode::V0H1H0,None
1010::postcode::CR76HD,51.3942378016x-0.117196752084
1010::postcode::1271NM,None
1010::postcode::WN23JW,53.5301085994x-2.5796971651
1010::postcode::S605BX,None
1010::postcode::OX9 3FF,51.7413383x-0.9596705
1010::postcode::42580,None
1010::postcode::CM15 9SL,51.6469524x0.2897669
1010::postcode::NW3 1NN,None
1010::postcode::PE235AE,53.1550263235x0.0803755616572
1010::postcode::SE16ER,51.4958508177x-0.104685544834
1010::postcode::NG8 5GY,52.9689275x-1.1929148
1010::postcode::EH11 4EQ,55.9279583x-3.2970824
1010::postcode::TN20 6TZ,None
1010::postcode::SE16LN,51.4968761037x-0.101358230761
1010::postcode::RM96YF,51.5322632907x0.139400903249
1010::postcode::RG196HW,None
1010::postcode::TR7 1DX,50.4147154841x-5.08076906011
1010::postcode::BA21 4JR,50.9496089x-2.6346775
1010::postcode::3036EV,None
1010::postcode::SW19 6QE,51.4485158x-0.2201677
1010::postcode::3958XG,None
1010::postcode::ZE10DE,60.1576284752x-1.15477504979
1010::postcode::cowicklow,None
1010::postcode::CR77EQ,51.3949840282x-0.104358101796
1010::postcode::N13 4BS,51.6225391x-0.1054214
1010::postcode::sk75sa,None
1010::postcode::3893CV,None
1010::postcode::SE17AA,51.5021417634x-0.110577011916
1010::postcode::DE212SQ,52.9485462699x-1.42423345625
1010::postcode::SE17AB,51.5014856274x-0.111713595497
1010::postcode::110-786,None
1010::postcode::YO107BU,None
1010::postcode::33400TALENCE,None
1010::postcode::ST28DD,None
1010::postcode::LA2 6HN,54.0920342x-2.8137568
1010::postcode::NW3 2QT,51.5534613x-0.1609434
1010::postcode::NW3 2RL,51.5556572x-0.1667981
1010::postcode::E15 1BX,51.5426111x0.0014515
1010::postcode::NW3 2SE,51.5561346x-0.165697
1010::postcode::SE17JB,51.4980690465x-0.107287691779
1010::postcode::W1F 7JA,51.5138143x-0.1393225
1010::postcode::#344-0127,None
1010::postcode::SE17NQ,51.5032864683x-0.11521257134
1010::postcode::RH13 5HR,51.0637865x-0.3073209
1010::postcode::W1F 7NJ,51.5140451x-0.1368631
1010::postcode::GL7 4JQ,None
1010::postcode::TR7 2BU,50.4105192x-5.0843107
1010::postcode::AB252ZP,None
1010::postcode::SE17SJ,None
1010::postcode::W1F 7SP,None
1010::postcode::GL74JQ,51.7146707141x-1.77974094988
1010::postcode::SA726DY,51.6990672273x-4.93690613707
1010::postcode::NW3 3AG,None
1010::postcode::MK18 3PW,None
1010::postcode::36037Fulda,None
1010::postcode::CR78BT,51.410837478x-0.112114662091
1010::postcode::ZE2 9NB,None
1010::postcode::SA726HL,None
1010::postcode::SA726HW,None
1010::postcode::E154LP,51.5430133022x0.00742585231065
1010::postcode::TR7 2LZ,50.4105492x-5.0682226
1010::postcode::BS351HF,51.6109645549x-2.52778153595
1010::postcode::BS351HT,None
1010::postcode::GU2 7XH,None
1010::postcode::E154PN,51.5407106139x0.00272421506207
1010::postcode::HG28JR,None
1010::postcode::W71EU,51.5159120944x-0.335739498723
1010::postcode::SE18AA,51.5038708185x-0.103488239988
1010::postcode::TR7 2SG,50.4089223x-5.0610088
1010::postcode::tn87ah,51.1859365x0.146462
1010::postcode::110-876,None
1010::postcode::TW20 0EX,51.4253229x-0.5672179
1010::postcode::TW8 9JQ,51.4902000237x-0.31537175061
1010::postcode::TA3 7RE,None
1010::postcode::W1B5TR,None
1010::postcode::3037XC,None
1010::postcode::SE18HA,51.5031597584x-0.105117152526
1010::postcode::SE18HP,51.5020558945x-0.105811327929
1010::postcode::95000,None
1010::postcode::95008,None
1010::postcode::95014,None
1010::postcode::95027,None
1010::postcode::HP17 8ES,51.7710700471x-0.929218610569
1010::postcode::W1F 8JG,51.5141779x-0.1361658
1010::postcode::NW10 9LN,51.5432311288x-0.249873967736
1010::postcode::WC2R 0JJ,51.5110894x-0.1206988
1010::postcode::SE18LZ,None
1010::postcode::--,None
1010::postcode::HG3 1QW,53.9736489x-1.5934706
1010::postcode::somerset,40.497604x-74.4884868
1010::postcode::NW10 9PG,51.5461083227x-0.249850104632
1010::postcode::SE18PG,None
1010::postcode::00,52.2184066x21.0246892
1010::postcode::01,None
1010::postcode::02,None
1010::postcode::03,None
1010::postcode::11,None
1010::postcode::14,None
1010::postcode::15,None
1010::postcode::16,44.943529x-94.225826
1010::postcode::18,None
1010::postcode::SE18QW,None
1010::postcode::20,None
1010::postcode::24,None
1010::postcode::SE18TB,51.5045662174x-0.109799486259
1010::postcode::DE214EW,52.9432887834x-1.45111895672
1010::postcode::LL14 3AX,52.9724484x-3.0679665
1010::postcode::47,None
1010::postcode::SE18UL,51.5027180019x-0.110063279218
1010::postcode::57,None
1010::postcode::6301BN,None
1010::postcode::TW20 0YG,51.439822x-0.5793396
1010::postcode::82,None
1010::postcode::84,None
1010::postcode::TR7 3JA,50.4197942x-5.0488272
1010::postcode::93,None
1010::postcode::W1F 8WZ,51.5150939x-0.1355231
1010::postcode::CV129RT,None
1010::postcode::1432-1250,None
1010::postcode::3261 LV,51.8243986x4.4378768
1010::postcode::IP28AE,52.0509076306x1.15009426261
1010::postcode::800005,None
1010::postcode::W72DP,None
1010::postcode::SE19AQ,51.5062719191x-0.0912986197652
"1010::postcode::SanRafael,Alajuela",None
1010::postcode::n227ex,51.5990762x-0.1164911
1010::postcode::SE19BG,51.5065441286x-0.0875838691992
1010::postcode::RH175BD,51.0076760163x-0.135757596949
1010::postcode::NW3 4NJ,51.5462733x-0.1641898
1010::postcode::LA2 8ER,54.1163778x-2.3937026
1010::postcode::D2,48.3426231x17.023085
1010::postcode::D6,43.4759774x5.5310796
1010::postcode::B147EG,52.4336949435x-1.89024402818
1010::postcode::SE19DG,None
1010::postcode::800078,None
1010::postcode::E9,None
1010::postcode::SE19EA,51.5066941739x-0.0934857127775
1010::postcode::2316ZK,None
1010::postcode::DH1 1HN,None
1010::postcode::W1F 9EP,51.5130557x-0.1379843
1010::postcode::surrey cr4 3af,51.4017687x-0.1691337
1010::postcode::HK,None
1010::postcode::95100,None
1010::postcode::NW3 4TG,51.5464665x-0.1616004
1010::postcode::IE,53.41291x-8.24389
1010::postcode::EC4Y 0AN,51.5122023x-0.1065871
1010::postcode::95121,None
1010::postcode::HX5 9DB,None
1010::postcode::W8 5HD,None
1010::postcode::RH175LZ,50.9730939853x-0.197437711011
1010::postcode::NW3 4YD,None
1010::postcode::NA,None
1010::postcode::WC2R 1LB,None
1010::postcode::WS9 0HJ,52.5944837454x-1.91770040848
1010::postcode::Na,-22.95764x18.49041
1010::postcode::EC4Y 0HQ,None
1010::postcode::B147RA,52.4320274413x-1.89538129337
1010::postcode::Nw33el,51.5451142326x-0.164207185958
1010::postcode::GL7 6JS,51.7094901x-1.9950028
1010::postcode::LA26HN,None
1010::postcode::RH175QT,None
1010::postcode::S1,53.3784913x-1.4712994
1010::postcode::SE19RS,51.5046426234x-0.0889891510582
1010::postcode::SE19RT,51.5046426234x-0.0889891510582
1010::postcode::SW,None
1010::postcode::69700,None
1010::postcode::SE19UY,51.5078526435x-0.103928135236
1010::postcode::GL76JS,None
1010::postcode::se10eh,51.5029385245x-0.0997806441757
1010::postcode::W1,51.5135492x-0.1478809
1010::postcode::W1F 9UD,51.5118716066x-0.135293944604
1010::postcode::ba15bd,51.3858234x-2.3594957
1010::postcode::CB249NU,52.239065714x0.109768858475
1010::postcode::sk4 1bs,53.4095173x-2.1641114
1010::postcode::PA11JS,55.8427114213x-4.4108320622
1010::postcode::CB249PT,None
1010::postcode::BS419BT,None
1010::postcode::WS100EZ,None
1010::postcode::PR90SR,53.6467439453x-2.99159352301
1010::postcode::SA20DB,51.6121596054x-3.97336024634
1010::postcode::2251ZZ,None
1010::postcode::CB249ZR,52.2447765335x0.108706765733
1010::postcode::Bs79nl,None
1010::postcode::DN15 9QD,53.6591289x-0.5978351
1010::postcode::CR00XT,51.3750659182x-0.0911140980242
1010::postcode::BS419NF,None
1010::postcode::75014-paris,None
1010::postcode::CW9 7XW,53.2530392x-2.4740671
1010::postcode::hj,None
1010::postcode::HU1 1RS,None
1010::postcode::RH176HF,None
1010::postcode::OX10 7HR,51.6452802894x-1.16555028079
1010::postcode::na,-22.95764x18.49041
1010::postcode::TR14 0HX,50.2326898x-5.2831689
1010::postcode::NR321EB,None
1010::postcode::CR01BQ,None
1010::postcode::DE216BF,52.9145941761x-1.42813376174
1010::postcode::WC2R 2NS,51.5111283x-0.1152785
1010::postcode::E15 4LP,None
1010::postcode::31000-Toulouse,None
1010::postcode::BT6 8DD,None
1010::postcode::OX10 7NE,None
1010::postcode::RH13 8LG,50.9870003x-0.3409054
1010::postcode::TR14 0NB,50.187468x-5.3392216
1010::postcode::GU266SJ,51.1200776173x-0.735839595785
1010::postcode::OX107HR,51.6452802894x-1.16555028079
1010::postcode::75006Paris,None
1010::postcode::RH13 8PB,50.9943391x-0.370327
1010::postcode::ww,None
1010::postcode::HU1 2AA,53.7445317x-0.3330936
1010::postcode::CR01JE,51.3695429074x-0.0971049436464
1010::postcode::N51LH,None
1010::postcode::CB21 4JB,None
1010::postcode::santiago,None
1010::postcode::OX107NE,51.6639897411x-1.17677348913
1010::postcode::CF235HQ,51.4993360205x-3.17346402427
1010::postcode::nw15qe,None
1010::postcode::nw15qt,None
1010::postcode::SN151GG,51.4685090513x-2.10829740534
1010::postcode::CF235JG,None
1010::postcode::dublin,None
1010::postcode::ec1n8uh,51.5207141163x-0.109073282492
1010::postcode::cr0 6jw,51.3863979x-0.074733
1010::postcode::SN151JD,51.4649997084x-2.14410419303
1010::postcode::03058,None
1010::postcode::CR01QE,51.3712080548x-0.0999668638624
1010::postcode::TW200EX,51.4253236005x-0.567217578092
1010::postcode::M4 5AD,53.484746x-2.2321104
1010::postcode::N51TU,51.5557807272x-0.0993534320821
1010::postcode::DH1 3AN,54.7733422x-1.57185
1010::postcode::LS115BQ,53.7923550688x-1.55053486435
1010::postcode::CV32 4QN,52.2913553x-1.5334112
1010::postcode::2907BH,None
1010::postcode::DE150YZ,52.7922517194x-1.57236845101
1010::postcode::TD9 7PH,None
1010::postcode::N183HU,51.6081057898x-0.0374791210721
1010::postcode::SN151QJ,None
1010::postcode::se187ex,51.487143772x0.0759977752549
1010::postcode::EC3P 3DQ,51.514242x-0.0815834
1010::postcode::NW3 6QE,51.5534129x-0.1849768
1010::postcode::OX10 8AX,51.5961235x-1.137
1010::postcode::OX10 8BA,51.6064385x-1.1130937
1010::postcode::95301,None
1010::postcode::NW3 6TU,51.5559529x-0.1788603
1010::postcode::3941HDDoorn,None
1010::postcode::Tr18 2SA,50.124762x-5.5436381
1010::postcode::NW3 6XH,51.5535059x-0.1811073
1010::postcode::OX108AX,None
1010::postcode::OX108BA,None
1010::postcode::GU22 9DL,51.3064865x-0.5486845
1010::postcode::95361,None
1010::postcode::37601Lochescedex,None
1010::postcode::LA28ER,None
1010::postcode::LS115QP,53.7907975096x-1.55223640974
1010::postcode::3045-459Taveiro,None
1010::postcode::N52EA,None
1010::postcode::TW200YG,51.4398226526x-0.57933926248
1010::postcode::35133ROMAGNE,None
1010::postcode::CR02EA,51.3877673371x-0.0907867734639
1010::postcode::CB21 5EE,52.1858349818x0.20074376526
1010::postcode::RH13 9LD,51.0249801893x-0.351199660633
1010::postcode::N52HD,None
1010::postcode::M50 2GN,53.4787185x-2.2990831
1010::postcode::W8 7RX,None
"1010::postcode::Surrey, GU7 1NN",51.1855922x-0.6102065
1010::postcode::ZZ75,None
1010::postcode::B75QS,52.5020705767x-1.86230538534
1010::postcode::33608PESSAC,None
1010::postcode::69970,None
1010::postcode::NE180NA,55.0426541283x-1.87643805558
1010::postcode::HP198HT,51.8196582831x-0.816496738849
1010::postcode::NN8 4HB,52.3242141x-0.6917124
1010::postcode::BR26HH,51.3642230493x0.0394761022525
1010::postcode::N52UX,51.5566092744x-0.0961019305837
1010::postcode::CW109BS,None
1010::postcode::NP44 1DY,51.6612896274x-3.02527269066
1010::postcode::M33 4PG,53.4138396x-2.345597
1010::postcode::CR02XN,51.3844347072x-0.102638322751
1010::postcode::CF236XD,None
1010::postcode::CA130DF,54.6595921882x-3.36650928244
1010::postcode::62000,None
1010::postcode::NR21 9HY,52.863563x0.7975436
1010::postcode::G62 7LN,55.9514346x-4.3272271
1010::postcode::SK144HR,53.4641406824x-2.07569509285
1010::postcode::NR2 1DN,None
1010::postcode::DH1 4PZ,54.7742039286x-1.58667093579
1010::postcode::dd1 1hu,None
1010::postcode::+0977,None
1010::postcode::TN110LT,51.228478227x0.349902964779
1010::postcode::CV32 6ES,None
1010::postcode::WA87GD,None
1010::postcode::8337KS,None
1010::postcode::ST170DS,52.7892735447x-2.07836980529
1010::postcode::PH504QH,56.7150345035x-4.96599273354
1010::postcode::SG11HN,51.9011779393x-0.203233599364
1010::postcode::BT18 9HS,None
1010::postcode::03200,None
1010::postcode::se13lf,51.5003101383x-0.0792000135272
1010::postcode::WA87QF,53.3632375719x-2.73428149769
1010::postcode::LS117AN,53.7773575148x-1.55630958259
1010::postcode::PE7 8JA,None
1010::postcode::DH1 5DQ,54.8049897x-1.5864971
1010::postcode::EX24LU,None
1010::postcode::M4 7HR,53.4834676x-2.2139298
1010::postcode::RG457HZ,51.3629865226x-0.7937441473
1010::postcode::WR127HU,None
1010::postcode::S212JU,None
1010::postcode::SK145ES,53.4341177527x-2.07783911344
1010::postcode::YO301YH,None
1010::postcode::CO49QS,51.9209152752x0.929911520103
1010::postcode::po5 3ps,50.783125x-1.0886131
1010::postcode::62107,None
1010::postcode::62150,None
1010::postcode::WR127RR,None
1010::postcode::SK145LX,53.4396355784x-2.06469225289
1010::postcode::DH1 5TS,54.7893478x-1.5875897
1010::postcode::CO13 0AZ,51.8433069x1.2495144
1010::postcode::2909VA,None
1010::postcode::SG12DA,None
1010::postcode::SY57ER,52.6372541028x-2.77412199392
1010::postcode::CR04HA,51.367827548x-0.103899522558
1010::postcode::SE128RN,None
1010::postcode::LS18 5RF,53.8428251x-1.6395725
1010::postcode::EX25AP,50.7184211x-3.4820858
1010::postcode::03301,None
1010::postcode::OX29 9NY,51.8447553x-1.5572304
1010::postcode::LS18 5SE,53.850548x-1.6403119
1010::postcode::MK5 6EX,52.0250654x-0.7901683
1010::postcode::NR2 2PN,52.6280211x1.2801041
1010::postcode::NR2 2PQ,None
1010::postcode::tq47eu,50.4288279903x-3.58402732334
1010::postcode::CM5 9RB,None
1010::postcode::NN8 6GS,52.306153x-0.7372881
1010::postcode::CV2 1ED,None
1010::postcode::BR28HP,51.3694426818x0.0356421359803
1010::postcode::BR28HU,51.3670788738x0.0371176046416
1010::postcode::03360,None
1010::postcode::3188579917,None
1010::postcode::OL50HT,53.5170515987x-2.04885470839
1010::postcode::Monteverde,None
1010::postcode::M16 8HX,53.4513752x-2.2525726
1010::postcode::CT5 3DD,51.3410994x1.0209184
1010::postcode::E32GZ,51.5407760757x-0.0218030170022
1010::postcode::sg142wh,51.8112339x-0.1015802
1010::postcode::EH13 0PU,None
1010::postcode::se14tx,51.4962848257x-0.0843539938613
1010::postcode::BR28QN,51.3688729509x0.0461478601815
1010::postcode::M16 8NG,53.4431361311x-2.25574559443
1010::postcode::EDINBURGH,None
1010::postcode::TA5 2DX,None
1010::postcode::WC2N4ES,51.5099116995x-0.126295038202
1010::postcode::1200AD,None
1010::postcode::BD249EB,None
1010::postcode::M16 8PR,None
1010::postcode::BD249EJ,None
1010::postcode::BA7 7AB,51.0895545x-2.5143542
1010::postcode::TN380HR,None
1010::postcode::62208,None
1010::postcode::BN251BE,50.7651139567x0.11025388746
1010::postcode::CM232ER,51.8713842951x0.160994520492
1010::postcode::S21 2JU,53.3297675x-1.3020716
1010::postcode::BD183LA,None
1010::postcode::62223,None
1010::postcode::CO2 8JB,51.8814458x0.9261216
1010::postcode::WC2N4JS,None
1010::postcode::SW1P 2DY,51.4960319x-0.1345291
1010::postcode::SE21 7AL,51.4516264x-0.087088
1010::postcode::E32TB,51.534339146x-0.0213755862068
1010::postcode::NR2 3HP,52.6262385x1.2726992
1010::postcode::RM141TX,51.58254521x0.253096553783
1010::postcode::nw19jx,51.5447234014x-0.139965165057
1010::postcode::BT97DU,54.5819098123x-5.95051552551
1010::postcode::BD249PR,None
1010::postcode::NG10 3NP,52.8923435x-1.2866864
1010::postcode::SN155DF,51.5629874095x-1.99784553995
1010::postcode::NR2 3NE,52.6217162x1.2697163
1010::postcode::NR2 3NH,None
1010::postcode::TN22 3QT,50.9919400222x-0.00259516705416
1010::postcode::SG19 2NR,52.128015683x-0.215277120016
1010::postcode::36849,None
1010::postcode::Hu143NE,53.7372788757x-0.484056702237
1010::postcode::eh10 5hw,55.927377x-3.2103006
1010::postcode::CV2 2DX,None
1010::postcode::SA667PT,51.8619289377x-4.70718219818
1010::postcode::E32at,51.5278477004x-0.0278562974434
1010::postcode::D12,45.7193823x0.2328858
1010::postcode::D15,None
1010::postcode::DT2 7BE,50.8381767x-2.5256014
1010::postcode::BB52QY,53.7385157074x-2.35242613758
1010::postcode::KT138BT,51.3799757223x-0.457428197122
1010::postcode::EX26LR,50.6983506122x-3.50020130573
1010::postcode::D6W,None
1010::postcode::WC2N5AF,None
1010::postcode::WC2N5AP,51.5070463795x-0.124251071734
1010::postcode::L155AE,None
